ID,PhoneNumber,CompanySize,WebsiteVisits,EmailOpens,EmailClicks,LeadSource,Customer
8807507,1-840-562-7112,75,19,11,5,Adwords,Yes
1524629,4-688-468-7872,201,2,4,0,Tradeshow,No
0521298,6-841-486-6605,188,5,5,3,Webinar,No
7267818,2-727-723-4115,180,3,7,2,Adwords,No
1348223,8-427-466-5441,111,4,7,4,Adwords,No
6573560,6-022-885-4344,66,13,15,8,Webinar,Yes
1913224,8-401-132-6365,222,7,2,3,Print,No
7749650,0-574-212-3243,127,2,2,2,Webinar,No
3742303,0-308-245-5362,66,12,15,9,Print,Yes
9706502,6-755-641-6216,50,24,23,14,Tradeshow,Yes
5169644,2-663-134-2384,227,2,4,4,Tradeshow,No
9321603,0-518-370-8636,102,6,7,3,Tradeshow,No
9588995,1-627-235-8405,188,2,5,0,Print,No
2916842,2-632-426-0704,74,11,19,4,Adwords,Yes
8917929,3-361-601-7036,71,28,19,11,Print,Yes
8425944,1-722-887-2866,149,3,5,0,Adwords,No
5341867,3-183-067-7378,192,5,3,3,Print,No
0206720,3-275-676-1368,119,7,7,4,Tradeshow,No
4134850,0-100-541-2150,173,2,6,5,Print,No
9000563,6-378-407-4820,154,4,6,4,Adwords,No
7042485,2-661-866-7384,231,2,7,4,Webinar,No
6297940,5-888-865-4754,94,26,27,4,Webinar,Yes
0527785,1-388-823-2711,85,5,3,1,Tradeshow,No
8711193,8-514-382-8711,124,7,3,0,Tradeshow,No
7976827,3-653-240-0478,96,4,3,2,Tradeshow,No
5982171,1-452-284-1162,194,6,4,5,Tradeshow,No
5977590,7-721-604-3231,247,5,4,1,Tradeshow,No
0304982,6-746-015-0833,119,6,7,5,Print,No
6820536,8-846-702-0007,209,3,4,2,Adwords,No
6620588,0-663-622-4225,78,21,24,10,Webinar,Yes
7339452,0-811-414-7110,136,7,6,3,Print,No
5676553,3-752-076-8487,194,3,4,2,Print,No
5161030,2-414-520-8046,57,10,23,14,Webinar,Yes
5080354,3-704-286-5087,239,5,6,5,Adwords,No
3997851,1-541-451-6870,229,7,4,3,Webinar,No
4655409,4-567-845-5165,147,4,3,0,Print,No
0338803,3-523-108-1327,196,7,5,0,Webinar,No
0675996,7-718-558-1556,154,7,4,4,Tradeshow,No
3054934,0-710-641-8868,65,27,13,7,Print,Yes
3611344,4-650-807-8870,99,26,13,3,Adwords,Yes
1241313,6-402-206-5070,128,5,4,0,Webinar,No
1859793,5-343-316-6838,82,5,10,3,Print,Yes
7732240,6-175-782-7080,248,7,7,0,Webinar,No
9478577,1-827-070-7561,239,5,7,1,Webinar,No
5609192,3-178-120-0406,192,7,4,2,Tradeshow,No
6079729,8-384-422-7383,83,10,28,11,Adwords,Yes
5656545,7-156-738-8251,202,4,7,5,Tradeshow,No
2838723,0-153-018-8220,140,3,6,4,Print,No
7617087,8-206-470-6711,102,5,7,2,Print,No
8732270,0-731-641-4378,53,13,24,7,Webinar,Yes
0580754,2-334-551-7785,188,5,7,2,Print,No
1529123,6-527-066-3120,114,2,2,1,Print,No
8131691,3-206-748-0400,72,16,21,14,Adwords,Yes
9914238,2-207-241-3328,241,3,7,1,Webinar,No
1144410,8-555-087-7005,249,7,6,3,Print,No
9738099,7-423-278-8328,86,25,10,11,Webinar,Yes
8167016,8-432-007-1053,104,4,3,2,Tradeshow,No
0691075,5-505-560-5313,85,4,4,5,Adwords,No
9521393,2-322-540-4266,151,7,6,3,Webinar,No
6700759,4-832-717-6355,169,2,4,5,Print,No
8004157,7-352-766-3578,98,22,27,7,Webinar,Yes
5558373,0-622-015-2422,163,4,5,3,Print,No
3833356,7-663-365-7385,203,2,7,1,Print,No
5158119,0-662-267-3163,108,6,5,2,Tradeshow,No
8536967,7-843-161-2604,70,13,29,6,Webinar,Yes
9905766,5-668-008-3037,129,4,2,1,Tradeshow,No
5752468,3-615-022-1145,178,2,3,0,Print,No
5428900,5-585-245-5610,195,7,7,2,Tradeshow,No
6829836,3-157-378-8181,223,6,7,3,Print,No
1216840,5-053-843-7336,83,21,14,13,Tradeshow,Yes
3891303,2-745-110-6665,245,6,2,0,Adwords,No
9502544,0-438-238-1856,167,6,7,3,Webinar,No
3967189,1-325-702-5023,163,3,3,5,Print,No
2752245,8-164-336-6216,99,14,24,7,Print,Yes
0336857,1-315-402-6156,71,15,25,9,Print,Yes
0197634,6-651-051-7653,57,8,24,5,Print,Yes
9548107,4-156-716-7733,212,6,3,1,Adwords,No
9596108,3-184-288-2327,238,4,6,0,Tradeshow,No
8663982,8-146-178-0882,108,3,4,5,Adwords,No
2486851,6-680-832-5421,94,19,10,5,Tradeshow,Yes
6263389,2-463-003-8452,206,5,2,0,Adwords,No
2867111,7-841-086-1281,178,4,2,2,Tradeshow,No
8507059,3-612-887-0723,176,4,7,2,Tradeshow,No
3387545,6-448-346-6676,211,6,5,3,Tradeshow,No
1315092,2-615-648-3067,223,2,7,1,Tradeshow,No
7171271,3-764-324-3166,145,6,6,5,Print,No
2256083,2-355-621-4406,132,4,6,0,Print,No
9250437,7-426-232-8416,59,17,23,10,Print,Yes
1387552,4-438-145-0548,72,20,8,3,Print,Yes
1321514,3-544-656-0072,168,2,5,1,Adwords,No
5445308,3-672-352-3718,98,6,7,4,Adwords,No
2897903,2-601-048-0541,76,20,12,14,Adwords,Yes
1145567,3-431-801-7011,155,2,5,2,Tradeshow,No
2361005,1-752-216-8103,59,23,22,12,Tradeshow,Yes
3563556,7-354-583-5024,59,20,26,9,Webinar,Yes
6988040,6-636-404-2754,136,5,3,0,Webinar,No
8478287,3-031-656-8045,153,2,5,4,Print,No
0313396,5-044-208-8724,94,4,7,2,Print,No
3702909,4-720-823-8523,78,15,10,13,Tradeshow,Yes
2008927,3-058-848-4811,111,2,3,5,Webinar,No
1943895,1-751-170-4028,169,5,5,2,Print,No
9563699,6-581-412-6548,118,4,2,4,Print,No
5146779,0-504-576-3380,237,2,3,2,Tradeshow,No
3567038,1-384-047-0163,126,2,6,0,Adwords,No
3941132,1-581-716-2313,244,2,4,4,Tradeshow,No
7560717,7-566-706-2663,86,26,20,3,Adwords,Yes
1763001,1-851-802-6421,64,22,11,6,Tradeshow,Yes
2946175,2-836-874-1376,83,29,20,5,Print,Yes
2666842,7-058-036-4343,97,7,28,7,Webinar,Yes
9101635,1-313-553-1274,110,3,5,4,Tradeshow,No
4625434,5-877-380-8831,243,6,2,2,Tradeshow,No
9078340,7-785-210-4586,193,6,7,0,Tradeshow,No
4756524,8-733-738-7575,99,5,5,1,Adwords,No
2559047,6-535-403-7750,77,15,12,6,Print,Yes
6341889,3-272-076-3758,70,26,24,8,Webinar,Yes
7246887,1-576-524-5024,227,3,3,3,Print,No
0834200,6-400-826-5783,180,2,2,3,Tradeshow,No
3211880,7-127-385-5055,222,4,4,2,Webinar,No
3717506,2-076-306-6242,103,6,6,4,Print,No
2288175,7-050-548-1031,143,3,6,5,Tradeshow,No
3985900,4-808-041-2027,113,7,7,3,Webinar,No
0744171,4-872-212-3785,154,5,7,1,Webinar,No
8803432,0-384-483-1350,91,8,10,10,Print,Yes
2687318,4-547-750-1501,104,7,2,2,Print,No
8801328,4-187-010-8525,239,2,2,0,Tradeshow,No
9199530,7-577-025-2551,78,27,21,14,Webinar,Yes
3097608,1-182-131-0282,141,5,2,0,Webinar,No
5377184,2-521-255-2414,140,2,2,1,Adwords,No
4994619,6-288-377-0104,112,7,5,5,Adwords,No
4925884,1-567-544-2207,181,7,5,0,Print,No
3960222,0-454-138-2583,159,3,5,1,Webinar,No
1480374,6-176-400-2732,92,6,3,2,Webinar,No
4074910,3-177-550-5488,146,6,6,2,Webinar,No
8359176,0-045-207-8482,200,2,5,4,Webinar,No
8804706,3-523-764-8356,133,4,7,1,Tradeshow,No
8689508,6-310-817-6282,187,7,7,2,Print,No
6719286,1-638-863-5785,86,7,6,2,Tradeshow,No
6561359,2-477-104-2875,147,3,3,3,Print,No
2403019,8-226-262-2476,109,3,7,3,Print,No
1477647,0-046-730-7870,127,2,7,0,Print,No
0801189,2-734-374-2870,130,2,7,4,Print,No
6736732,4-884-064-1274,94,3,3,2,Webinar,No
8162473,3-132-512-3310,65,10,13,5,Webinar,Yes
0552286,3-730-718-8338,95,5,25,10,Webinar,Yes
7836107,7-531-031-7272,225,7,4,0,Adwords,No
7526472,8-265-204-4542,66,9,24,14,Adwords,Yes
8482277,6-276-005-0143,84,21,20,14,Adwords,Yes
2652366,8-675-218-5736,90,14,6,6,Print,Yes
5539143,1-030-467-0530,85,7,22,7,Adwords,Yes
1866364,8-123-005-0023,175,6,2,5,Tradeshow,No
3595268,3-318-008-6642,92,13,24,13,Adwords,Yes
9241878,4-154-828-8206,76,15,20,14,Webinar,Yes
3291336,8-623-381-5873,100,2,7,0,Adwords,No
4773805,7-332-205-7043,157,6,4,5,Adwords,No
4197887,5-676-875-0535,135,2,7,5,Adwords,No
7489917,4-482-516-4761,80,28,6,8,Print,Yes
2125864,8-755-386-2544,91,4,2,4,Tradeshow,No
7393133,0-514-104-4588,55,13,20,6,Webinar,Yes
1926102,3-131-422-4482,136,2,4,3,Tradeshow,No
8562235,5-561-846-5463,205,4,2,3,Webinar,No
1030214,5-674-181-7227,150,6,6,4,Webinar,No
8461046,3-118-213-5700,153,3,4,3,Tradeshow,No
3107667,7-360-541-7552,249,3,7,3,Print,No
7359992,8-717-426-7764,168,2,7,4,Tradeshow,No
8409032,0-238-400-4267,121,5,2,1,Tradeshow,No
1597282,0-461-070-4885,83,6,17,3,Webinar,Yes
8799223,5-083-280-0786,202,3,6,1,Webinar,No
8961236,5-842-748-3040,213,4,5,3,Print,No
2777599,3-012-533-4767,226,6,4,5,Adwords,No
5654797,7-655-322-0645,246,2,3,3,Tradeshow,No
1313438,4-213-080-8426,127,6,4,5,Print,No
6503333,8-047-855-6277,204,5,7,0,Print,No
5289284,6-333-266-4524,95,13,26,8,Webinar,Yes
6772990,7-723-811-0457,70,14,15,7,Print,Yes
8644303,7-513-543-4482,190,4,7,3,Print,No
0298212,8-843-143-4375,99,23,5,13,Print,Yes
6217657,8-018-067-2746,221,6,6,4,Webinar,No
7089547,2-131-256-4805,90,28,27,8,Adwords,Yes
8626468,3-320-102-1762,101,7,4,1,Tradeshow,No
0409689,8-728-267-2208,198,7,3,1,Webinar,No
2313212,8-830-401-2202,189,7,3,1,Tradeshow,No
1618494,2-030-187-2877,223,2,7,1,Tradeshow,No
7357040,4-727-322-2072,145,5,3,5,Adwords,No
0762443,7-083-500-7667,129,7,5,4,Print,No
8948649,5-674-384-5433,243,7,3,0,Tradeshow,No
8272503,7-646-286-0836,121,4,3,1,Tradeshow,No
4467003,5-370-178-8173,140,7,5,1,Print,No
1486175,8-426-144-1444,91,3,5,0,Webinar,No
4293815,5-720-574-4663,191,7,7,4,Tradeshow,No
2900171,8-114-631-2235,72,15,11,9,Tradeshow,Yes
2765609,2-454-632-0727,55,6,17,8,Webinar,Yes
5285473,0-071-200-7822,219,5,5,5,Print,No
7006817,1-874-332-4482,98,25,21,13,Webinar,Yes
8935345,5-126-244-3000,129,5,7,5,Adwords,No
3714692,5-584-064-7640,198,2,7,3,Print,No
4280397,4-576-185-2768,237,3,2,1,Adwords,No
0536072,1-103-382-6411,238,5,4,0,Tradeshow,No
1257315,8-827-832-8835,179,5,7,5,Tradeshow,No
2689691,2-632-655-1821,203,3,2,1,Webinar,No
7721429,3-445-361-7812,242,6,2,3,Webinar,No
3164364,2-720-562-3316,216,3,5,1,Tradeshow,No
0110074,4-827-308-5427,111,3,5,1,Print,No
0382344,7-068-203-4512,93,27,21,11,Adwords,Yes
8943954,1-260-384-2653,197,6,4,3,Tradeshow,No
4218601,5-668-431-7846,70,9,27,6,Tradeshow,Yes
5711928,4-756-754-5065,200,7,5,0,Tradeshow,No
6762540,3-631-531-5433,136,2,4,4,Adwords,No
0482165,3-707-618-6642,240,4,3,0,Tradeshow,No
6911921,3-220-574-3722,193,6,7,5,Print,No
3167972,2-345-087-3526,115,3,7,2,Print,No
1192837,1-345-260-4144,76,28,8,4,Tradeshow,Yes
8823638,0-011-114-3562,129,6,6,4,Print,No
0059741,3-020-124-1774,170,5,7,0,Tradeshow,No
6996934,7-015-618-3180,184,5,2,5,Tradeshow,No
2361314,8-187-516-5434,229,7,3,0,Print,No
2747749,1-321-238-6243,170,6,6,0,Print,No
9616812,6-150-877-6858,161,5,3,2,Adwords,No
4221028,8-161-327-6747,190,6,2,2,Print,No
4039852,8-565-410-5733,160,5,4,3,Adwords,No
8482572,6-562-331-1066,229,7,2,0,Tradeshow,No
5755994,1-175-067-6568,124,6,2,2,Adwords,No
6700822,0-884-002-0143,65,5,29,7,Adwords,Yes
1605789,5-244-612-2626,93,2,2,3,Tradeshow,No
9109453,5-470-601-6765,238,2,6,1,Tradeshow,No
3542657,0-316-506-4855,128,3,7,0,Webinar,No
0028189,5-655-066-3700,100,2,7,3,Print,No
3156556,7-662-417-4067,124,6,2,1,Webinar,No
5567234,1-157-655-7881,172,2,3,4,Print,No
4539786,3-561-814-7034,239,6,3,4,Adwords,No
6808496,2-168-644-0886,86,7,4,5,Tradeshow,No
2908903,8-183-063-3564,240,5,4,1,Webinar,No
6627667,4-333-248-7753,175,6,4,2,Webinar,No
7828638,1-046-200-3647,93,8,14,8,Adwords,Yes
9278206,3-154-172-4436,120,6,2,1,Adwords,No
8933770,7-224-007-7803,190,4,5,1,Adwords,No
1411128,5-663-234-4525,245,5,6,5,Tradeshow,No
5284164,7-866-770-8550,200,7,2,4,Webinar,No
8819296,4-610-365-0218,122,7,6,4,Print,No
6265674,7-448-884-8050,218,6,6,2,Adwords,No
7508788,3-448-074-7201,204,7,2,2,Tradeshow,No
9043582,8-556-087-3213,210,7,2,5,Tradeshow,No
3774262,3-005-630-8558,135,3,4,3,Tradeshow,No
8672851,1-572-200-0420,69,15,17,14,Print,Yes
7589459,4-421-803-1355,113,2,5,2,Print,No
7007399,3-165-261-4812,103,3,3,1,Webinar,No
7847361,6-111-621-7116,158,4,6,3,Tradeshow,No
1683261,5-748-435-3880,92,5,20,11,Webinar,Yes
4006276,8-705-313-3716,248,4,5,1,Webinar,No
1699320,0-686-670-7810,148,7,4,2,Print,No
6312528,7-684-217-0061,60,29,22,10,Adwords,Yes
3967793,5-617-054-0148,53,9,23,4,Print,Yes
0445896,0-115-635-7041,86,24,22,11,Webinar,Yes
2290818,7-141-231-1157,155,4,6,4,Print,No
3100127,7-888-471-2130,70,14,24,12,Webinar,Yes
1626205,7-400-177-3385,131,3,5,5,Tradeshow,No
1441617,8-118-786-0865,241,6,6,5,Tradeshow,No
8131554,0-033-322-0863,91,5,5,0,Print,No
6519781,5-652-068-0485,237,5,3,0,Adwords,No
1990070,7-166-212-5723,140,2,4,4,Webinar,No
0978057,0-383-877-0662,93,7,4,4,Adwords,No
3688738,2-437-205-8352,130,2,2,1,Tradeshow,No
7415283,4-611-714-4315,125,5,6,0,Print,No
5693875,7-721-026-5186,141,5,3,0,Print,No
5496268,6-066-617-1187,77,28,6,3,Print,Yes
4923729,1-655-407-0403,78,16,21,5,Webinar,Yes
7648622,4-082-443-2538,126,2,2,1,Tradeshow,No
4261267,4-101-421-6446,121,6,3,2,Tradeshow,No
9100024,0-800-544-5280,171,6,7,4,Print,No
1665666,6-788-132-4057,119,2,4,3,Webinar,No
5594478,7-620-556-6381,213,4,4,3,Print,No
0056721,1-404-572-3147,93,16,5,8,Tradeshow,Yes
4290951,0-356-114-7067,83,7,19,5,Webinar,Yes
5688857,1-210-500-6486,218,2,6,2,Print,No
4972596,3-730-200-6013,85,5,2,1,Print,No
4823985,8-512-032-3421,81,9,19,13,Adwords,Yes
6757092,6-463-435-3415,212,4,6,1,Print,No
8464447,2-748-854-4332,126,7,7,0,Adwords,No
4118903,1-004-564-4354,102,2,3,1,Print,No
0786956,4-630-010-4015,138,5,3,5,Print,No
5108098,1-453-302-8145,165,4,2,5,Adwords,No
9284139,8-320-645-3256,70,10,20,14,Print,Yes
3392412,0-337-616-1618,178,3,5,5,Adwords,No
3257594,4-104-350-1741,127,5,7,1,Print,No
9198183,6-670-644-8203,241,4,2,0,Tradeshow,No
1942356,6-607-544-5464,153,7,7,5,Adwords,No
9648740,8-314-840-4868,170,6,5,2,Tradeshow,No
3508506,4-510-684-3203,85,13,29,5,Print,Yes
4458966,8-020-240-3738,200,2,6,1,Print,No
1684737,6-202-685-6127,172,6,3,3,Adwords,No
8084155,0-663-350-0541,69,11,18,10,Print,Yes
9760604,2-244-827-4127,108,2,3,3,Tradeshow,No
9515046,3-423-042-7751,146,2,6,5,Adwords,No
3956492,5-542-402-5632,79,10,24,12,Webinar,Yes
1796269,5-470-411-0078,211,2,2,2,Print,No
6025337,2-050-510-4816,91,26,27,3,Webinar,Yes
3570858,4-453-828-1865,148,3,2,4,Webinar,No
2292432,4-388-301-1706,243,5,4,4,Tradeshow,No
1532611,1-033-111-6465,174,2,3,5,Adwords,No
2475929,7-302-665-8516,189,2,7,5,Print,No
8306714,7-750-658-2430,120,6,5,0,Print,No
4257024,4-655-028-4541,219,3,3,1,Tradeshow,No
6032601,4-581-484-7716,224,6,3,4,Tradeshow,No
2542782,3-861-516-1830,233,2,3,3,Tradeshow,No
8706571,5-235-827-5076,109,3,2,0,Adwords,No
2387963,7-260-075-5274,85,2,6,4,Tradeshow,No
9442630,8-256-664-3013,232,6,2,5,Print,No
1458500,1-200-124-6555,91,5,2,2,Adwords,No
9101563,6-086-833-8438,139,4,7,2,Tradeshow,No
0953193,6-420-823-0282,92,26,28,3,Webinar,Yes
7582694,3-407-523-4015,130,3,3,4,Adwords,No
8570279,1-121-548-8280,130,4,6,4,Tradeshow,No
3495316,3-072-431-6761,105,3,3,4,Adwords,No
1674984,6-154-588-6226,155,6,3,5,Tradeshow,No
9678183,5-215-826-8174,122,4,5,0,Print,No
9310097,3-718-132-4758,68,13,5,11,Adwords,Yes
2489178,3-777-876-8653,249,2,6,1,Print,No
4736201,6-564-101-3744,137,7,6,4,Tradeshow,No
2327443,3-835-672-0847,57,18,18,9,Print,Yes
8522180,2-443-216-0142,218,7,2,5,Webinar,No
4402456,7-717-037-2370,100,5,2,5,Print,No
5424237,1-160-718-8074,161,7,5,2,Adwords,No
6397824,3-534-210-2513,202,4,3,5,Print,No
2130510,5-602-027-5751,98,5,4,5,Webinar,No
8768909,7-820-875-2723,72,9,22,10,Webinar,Yes
3550037,2-350-866-2081,153,6,3,3,Tradeshow,No
2649695,6-865-647-7338,99,7,25,11,Webinar,Yes
0862094,1-714-124-4767,223,5,2,5,Tradeshow,No
5382420,1-200-683-7360,125,2,3,0,Print,No
2481407,4-700-405-1270,216,3,4,1,Webinar,No
6528964,3-606-547-7673,133,2,3,3,Webinar,No
8104443,1-834-341-3277,59,17,21,14,Webinar,Yes
8223103,2-012-487-8348,184,6,7,2,Adwords,No
9624187,0-441-112-6370,85,5,15,13,Print,Yes
0557113,3-377-400-8610,177,3,7,3,Print,No
6641121,4-460-466-1166,108,7,7,3,Print,No
8471497,5-638-461-8333,69,20,16,12,Tradeshow,Yes
0869484,1-482-372-4107,159,6,3,4,Print,No
4119653,8-545-556-3175,107,2,3,1,Tradeshow,No
2963733,1-008-537-3126,137,7,4,1,Print,No
2633989,4-673-875-1581,65,24,22,14,Tradeshow,Yes
4014896,4-447-870-3060,230,4,7,1,Tradeshow,No
7423272,8-836-206-8413,64,21,18,13,Adwords,Yes
6155448,5-203-271-5813,91,18,24,9,Webinar,Yes
1800924,6-403-513-1155,191,4,7,1,Tradeshow,No
4881434,6-842-812-6385,216,7,4,4,Print,No
1209867,5-256-025-0587,192,5,4,4,Tradeshow,No
6990837,1-483-874-5232,126,7,4,5,Adwords,No
2523840,8-537-687-1011,85,22,24,7,Adwords,Yes
5163306,4-546-182-4813,93,26,26,3,Adwords,Yes
6531667,0-767-425-4078,247,4,2,4,Adwords,No
4568404,0-374-462-4786,112,2,5,5,Tradeshow,No
1730254,7-511-522-6253,122,5,6,1,Webinar,No
5016739,1-458-427-7311,139,6,4,1,Print,No
0706452,0-018-116-1700,71,8,22,8,Tradeshow,Yes
8414997,7-665-162-0542,98,2,5,5,Webinar,No
4230020,7-386-023-5782,220,4,6,1,Print,No
7626247,0-351-458-5873,183,2,2,0,Tradeshow,No
5832346,3-855-066-8242,200,2,3,5,Tradeshow,No
1118368,7-473-344-0231,93,15,20,12,Adwords,Yes
6504733,8-536-013-4177,197,7,7,0,Print,No
9218916,6-554-811-1042,180,4,2,5,Print,No
1635521,4-156-076-6101,219,5,3,4,Tradeshow,No
3411883,2-852-715-0352,230,2,5,0,Print,No
3119924,6-875-271-6845,67,9,28,10,Adwords,Yes
2040792,5-402-440-8770,221,7,6,5,Tradeshow,No
1021078,4-505-527-8317,153,7,4,3,Print,No
4309341,7-037-054-3440,208,4,7,4,Adwords,No
0939850,3-558-856-7416,62,7,13,3,Webinar,Yes
5973142,2-102-557-1403,77,24,7,9,Webinar,Yes
0580507,4-612-178-4132,181,7,6,3,Tradeshow,No
0847728,3-116-630-7423,96,25,9,4,Webinar,Yes
0302643,4-434-568-6854,80,12,9,11,Tradeshow,Yes
6708785,6-703-354-2340,143,6,5,0,Print,No
0068425,3-465-562-3562,198,4,6,2,Tradeshow,No
1216956,5-667-245-8401,195,4,3,2,Adwords,No
3751005,5-312-035-6004,118,5,4,4,Adwords,No
8382651,3-157-410-4680,183,7,2,0,Adwords,No
9324650,5-525-332-0483,80,17,27,11,Tradeshow,Yes
6359193,3-288-563-6772,100,5,2,3,Print,No
8838996,8-251-855-5884,225,7,3,1,Tradeshow,No
0986132,5-811-247-8638,117,4,4,1,Adwords,No
3688697,2-614-637-1355,228,7,7,2,Tradeshow,No
9092150,8-366-557-0500,199,7,4,2,Webinar,No
8965241,0-430-434-4680,60,25,5,11,Adwords,Yes
4048816,2-368-740-2533,134,2,2,5,Tradeshow,No
4955735,4-422-230-6173,179,6,3,2,Tradeshow,No
5870695,6-800-857-5855,153,7,4,0,Adwords,No
2831289,6-837-362-7722,139,3,5,3,Print,No
1236015,1-113-020-7823,96,24,9,12,Webinar,Yes
2973299,0-622-645-7437,90,5,25,13,Tradeshow,Yes
7641067,0-835-400-6657,236,7,6,1,Adwords,No
5859312,6-621-683-0754,128,4,6,0,Webinar,No
4716857,1-162-300-6255,86,5,25,11,Tradeshow,Yes
5985632,2-073-804-0230,53,7,13,7,Webinar,Yes
4235417,6-872-047-2080,121,3,7,5,Print,No
3380008,2-228-382-3650,213,7,2,3,Tradeshow,No
