ID,State,PhoneNumber,CompanySize,WebsiteVisits,EmailOpens,EmailClicks,LeadSource,Customer
3609799,Delaware,1-528-003-7466,99,5,22,3,Adwords,Yes
3257594,Maryland,4-104-350-1741,127,5,7,1,Print,No
6989372,New Jersey,1-880-354-1688,84,6,14,11,Webinar,Yes
6757092,New York,6-463-435-3415,212,4,6,1,Print,No
7489917,Connecticut,4-482-516-4761,80,28,6,8,Print,Yes
2687318,Montana,4-547-750-1501,104,7,2,2,Print,No
6700822,New York,0-884-002-0143,65,5,29,7,Adwords,Yes
3402162,Nebraska,7-287-888-8830,214,4,2,1,Tradeshow,No
8644303,Alabama,7-513-543-4482,190,4,7,3,Print,No
8768909,Pennsylvania,7-820-875-2723,72,9,22,10,Webinar,Yes
9046520,Iowa,6-660-785-3452,181,4,4,3,Adwords,No
1110136,Delaware,5-560-074-3517,55,12,18,4,Adwords,Yes
3664569,Oklahoma,6-548-354-8224,196,4,2,4,Tradeshow,No
4261267,Vermont,4-101-421-6446,121,6,3,2,Tradeshow,No
5289284,New Jersey,6-333-266-4524,95,13,26,8,Webinar,Yes
0580754,Michigan,2-334-551-7785,188,5,7,2,Print,No
3595268,New York,3-318-008-6642,92,13,24,13,Adwords,Yes
9858514,Nevada,4-232-410-8115,141,2,5,0,Tradeshow,No
6620588,Pennsylvania,0-663-622-4225,78,21,24,10,Webinar,Yes
1338111,Maryland,3-418-528-6174,59,24,13,10,Tradeshow,Yes
5943817,New York,7-635-572-1874,55,11,14,10,Webinar,Yes
9903978,Wisconsin,5-801-514-4526,186,2,3,4,Print,No
5654797,North Carolina,7-655-322-0645,246,2,3,3,Tradeshow,No
2652366,Connecticut,8-675-218-5736,90,14,6,6,Print,Yes
9153441,Connecticut,8-013-884-5558,153,6,4,3,Print,No
3310283,New Jersey,1-670-270-1862,135,6,6,4,Tradeshow,No
5167958,Kentucky,8-585-003-6563,196,6,7,0,Webinar,No
0319832,Kentucky,7-700-868-7177,130,3,3,5,Print,No
8823638,Louisiana,0-011-114-3562,129,6,6,4,Print,No
3563556,Pennsylvania,7-354-583-5024,59,20,26,9,Webinar,Yes
9702043,New York,3-557-144-8765,74,5,21,11,Adwords,Yes
1345477,Missouri,7-230-226-5782,181,7,7,2,Print,No
2559047,Connecticut,6-535-403-7750,77,15,12,6,Print,Yes
3774884,Delaware,4-205-638-8682,80,29,27,3,Adwords,Yes
7847361,Georgia,6-111-621-7116,158,4,6,3,Tradeshow,No
4246955,Tennessee,6-570-885-3684,203,2,6,5,Tradeshow,No
2462605,Ohio,1-550-036-3836,233,6,5,0,Print,No
9615958,Colorado,5-865-215-3772,147,2,6,3,Webinar,No
2970540,Florida,3-335-640-2734,227,4,2,2,Print,No
6217657,California,8-018-067-2746,221,6,6,4,Webinar,No
4842187,North Dakota,3-761-584-7472,125,5,5,5,Adwords,No
4148300,Maryland,3-567-535-3186,69,17,14,7,Tradeshow,Yes
5254746,Delaware,4-720-410-3238,88,25,5,5,Adwords,Yes
6772990,Connecticut,7-723-811-0457,70,14,15,7,Print,Yes
2784118,West Virginia,7-541-102-1008,216,2,6,5,Webinar,No
5428900,Texas,5-585-245-5610,195,7,7,2,Tradeshow,No
5718393,Nevada,6-311-234-2138,101,3,5,4,Tradeshow,No
4906711,Illinois,1-764-107-2546,203,6,6,3,Adwords,No
8819296,South Dakota,4-610-365-0218,122,7,6,4,Print,No
7364750,Nebraska,2-111-812-8885,227,2,2,3,Tradeshow,No
8433774,New Jersey,6-622-801-8654,51,13,14,13,Webinar,Yes
9136250,Connecticut,5-622-113-8033,80,18,28,7,Tradeshow,Yes
5711928,Utah,4-756-754-5065,200,7,5,0,Tradeshow,No
8272503,New Jersey,7-646-286-0836,121,4,3,1,Tradeshow,No
6719286,Massachussets,1-638-863-5785,86,7,6,2,Tradeshow,No
7367201,Florida,6-106-331-0651,111,6,4,4,Tradeshow,No
0206720,Missouri,3-275-676-1368,119,7,7,4,Tradeshow,No
9707691,Florida,3-328-402-6562,112,3,4,2,Print,No
2013899,Kentucky,2-326-631-2465,100,3,2,5,Tradeshow,No
7027205,Kansas,7-831-717-4630,183,7,2,1,Adwords,No
3307976,Delaware,3-860-470-4527,58,9,18,3,Adwords,Yes
3599780,New York,7-104-284-8886,93,12,5,9,Webinar,Yes
2542782,Maryland,3-861-516-1830,233,2,3,3,Tradeshow,No
5158119,New Mexico,0-662-267-3163,108,6,5,2,Tradeshow,No
6359193,Illinois,3-288-563-6772,100,5,2,3,Print,No
1005330,Texas,2-538-166-8700,206,2,4,0,Tradeshow,No
9324650,Maryland,5-525-332-0483,80,17,27,11,Tradeshow,Yes
8804706,Washington,3-523-764-8356,133,4,7,1,Tradeshow,No
9943373,West Virginia,1-764-350-6387,212,4,4,4,Print,No
4484052,Mississippi,4-641-763-4577,187,6,4,4,Print,No
3276650,Washington,4-427-087-0070,198,2,6,3,Webinar,No
3960222,Hawaii,0-454-138-2583,159,3,5,1,Webinar,No
2229665,Connecticut,5-530-438-3627,53,18,16,14,Print,Yes
1108688,Ohio,8-735-351-8233,176,6,6,0,Tradeshow,No
8896376,Nebraska,4-657-601-8677,194,5,4,0,Tradeshow,No
1674984,Alaska,6-154-588-6226,155,6,3,5,Tradeshow,No
4034179,Georgia,0-840-100-1240,129,3,6,3,Print,No
3534757,Georgia,6-170-537-2333,208,7,4,1,Print,No
3211880,Michigan,7-127-385-5055,222,4,4,2,Webinar,No
2475929,New Hampshire,7-302-665-8516,189,2,7,5,Print,No
6557688,Florida,4-752-078-2340,158,4,6,3,Print,No
7751066,North Dakota,8-075-883-4446,93,7,3,1,Tradeshow,No
7415283,Indiana,4-611-714-4315,125,5,6,0,Print,No
0742761,New Hampshire,6-348-563-2625,159,7,5,2,Tradeshow,No
2489178,Minnesota,3-777-876-8653,249,2,6,1,Print,No
1216840,Maryland,5-053-843-7336,83,21,14,13,Tradeshow,Yes
2256083,New Hampshire,2-355-621-4406,132,4,6,0,Print,No
7054858,Tennessee,8-163-457-4131,241,2,6,4,Tradeshow,No
6708785,New Mexico,6-703-354-2340,143,6,5,0,Print,No
4257024,Florida,4-655-028-4541,219,3,3,1,Tradeshow,No
4230020,Massachussets,7-386-023-5782,220,4,6,1,Print,No
5656545,Indiana,7-156-738-8251,202,4,7,5,Tradeshow,No
1944845,New Mexico,4-576-214-1352,224,5,6,3,Tradeshow,No
3567038,Oregon,1-384-047-0163,126,2,6,0,Adwords,No
4632556,Ohio,7-624-564-3685,189,5,3,0,Webinar,No
7775211,Kansas,8-647-561-8201,161,3,4,1,Adwords,No
9005236,Nebraska,2-783-547-8482,144,4,5,0,Tradeshow,No
6952807,Mississippi,8-847-888-5583,112,7,3,2,Print,No
8090568,Delaware,3-356-572-4132,236,2,6,3,Print,No
3940261,Delaware,7-876-233-1462,139,6,6,1,Webinar,No
3611344,Delaware,4-650-807-8870,99,26,13,3,Adwords,Yes
5977590,New Jersey,7-721-604-3231,247,5,4,1,Tradeshow,No
3967793,Connecticut,5-617-054-0148,53,9,23,4,Print,Yes
2695534,Connecticut,6-157-807-7186,153,3,3,0,Adwords,No
3392412,North Dakota,0-337-616-1618,178,3,5,5,Adwords,No
4014896,Louisiana,4-447-870-3060,230,4,7,1,Tradeshow,No
9738099,New Jersey,7-423-278-8328,86,25,10,11,Webinar,Yes
6054288,Ohio,6-034-585-6181,113,7,6,4,Webinar,No
1124015,Nebraska,2-373-388-8720,181,7,2,4,Tradeshow,No
5284164,Indiana,7-866-770-8550,200,7,2,4,Webinar,No
8732270,New Jersey,0-731-641-4378,53,13,24,7,Webinar,Yes
2008927,Missouri,3-058-848-4811,111,2,3,5,Webinar,No
3996565,Connecticut,2-644-777-3116,76,26,24,11,Print,Yes
9478577,Arizona,1-827-070-7561,239,5,7,1,Webinar,No
3046487,West Virginia,1-636-581-3838,117,7,5,1,Adwords,No
3688697,Oregon,2-614-637-1355,228,7,7,2,Tradeshow,No
1635521,Nebraska,4-156-076-6101,219,5,3,4,Tradeshow,No
2787666,Oregon,1-622-462-7344,187,7,6,0,Webinar,No
0304982,Rhode Island,6-746-015-0833,119,6,7,5,Print,No
0086382,Texas,0-181-260-1176,121,2,4,5,Print,No
5775148,Idaho,8-170-773-0157,107,7,2,0,Webinar,No
4048816,Oklahoma,2-368-740-2533,134,2,2,5,Tradeshow,No
2381523,Nebraska,0-882-740-8212,127,2,3,4,Tradeshow,No
4925884,Connecticut,1-567-544-2207,181,7,5,0,Print,No
5870695,Connecticut,6-800-857-5855,153,7,4,0,Adwords,No
0086802,Idaho,1-671-507-7721,181,3,5,1,Print,No
3411883,Connecticut,2-852-715-0352,230,2,5,0,Print,No
1458500,Missouri,1-200-124-6555,91,5,2,2,Adwords,No
7393035,Delaware,2-037-718-7474,135,7,5,4,Tradeshow,No
9418951,Rhode Island,5-465-048-3175,192,4,4,4,Adwords,No
3495316,Kansas,3-072-431-6761,105,3,3,4,Adwords,No
7397711,Iowa,8-877-258-1002,125,3,4,2,Print,No
6504733,Vermont,8-536-013-4177,197,7,7,0,Print,No
7828638,New York,1-046-200-3647,93,8,14,8,Adwords,Yes
1529123,Arizona,6-527-066-3120,114,2,2,1,Print,No
5873168,Delaware,2-765-160-7258,61,26,6,9,Adwords,Yes
9616812,Arizona,6-150-877-6858,161,5,3,2,Adwords,No
0007163,Pennsylvania,5-606-768-6204,73,12,28,7,Webinar,Yes
3053100,Delaware,5-165-737-1251,70,29,18,7,Adwords,Yes
3941132,Tennessee,1-581-716-2313,244,2,4,4,Tradeshow,No
4770380,Alabama,1-622-233-1485,244,7,6,0,Tradeshow,No
6988040,Maine,6-636-404-2754,136,5,3,0,Webinar,No
0744171,Kentucky,4-872-212-3785,154,5,7,1,Webinar,No
7180498,Montana,5-255-037-5581,215,5,3,3,Print,No
1990070,Mississippi,7-166-212-5723,140,2,4,4,Webinar,No
1683261,Pennsylvania,5-748-435-3880,92,5,20,11,Webinar,Yes
1477647,Vermont,0-046-730-7870,127,2,7,0,Print,No
3291336,Utah,8-623-381-5873,100,2,7,0,Adwords,No
4293815,Missouri,5-720-574-4663,191,7,7,4,Tradeshow,No
3751005,Wisconsin,5-312-035-6004,118,5,4,4,Adwords,No
5755994,Arizona,1-175-067-6568,124,6,2,2,Adwords,No
1030214,Ohio,5-674-181-7227,150,6,6,4,Webinar,No
1358912,West Virginia,2-872-070-2071,219,4,6,1,Print,No
2988490,Oregon,2-110-441-5320,221,3,2,0,Tradeshow,No
0087853,New York,8-136-535-8683,203,2,5,5,Webinar,No
2765609,Pennsylvania,2-454-632-0727,55,6,17,8,Webinar,Yes
4732419,New Jersey,2-350-232-0124,231,5,2,1,Print,No
0445896,New York,0-115-635-7041,86,24,22,11,Webinar,Yes
7836107,Georgia,7-531-031-7272,225,7,4,0,Adwords,No
4625434,Vermont,5-877-380-8831,243,6,2,2,Tradeshow,No
3139652,Delaware,7-233-311-2375,227,5,4,0,Print,No
1859793,Connecticut,5-343-316-6838,82,5,10,3,Print,Yes
5857099,Nevada,8-207-712-5477,175,6,2,0,Tradeshow,No
0298212,Connecticut,8-843-143-4375,99,23,5,13,Print,Yes
2973299,Maryland,0-622-645-7437,90,5,25,13,Tradeshow,Yes
7089547,Connecticut,2-131-256-4805,90,28,27,8,Adwords,Yes
1626205,Nevada,7-400-177-3385,131,3,5,5,Tradeshow,No
5558373,Nebraska,0-622-015-2422,163,4,5,3,Print,No
0428983,Michigan,0-263-076-1654,115,2,2,3,Tradeshow,No
0847728,Pennsylvania,3-116-630-7423,96,25,9,4,Webinar,Yes
6519781,Connecticut,5-652-068-0485,237,5,3,0,Adwords,No
9204982,Nevada,0-770-731-4385,120,6,3,3,Adwords,No
5752468,Oklahoma,3-615-022-1145,178,2,3,0,Print,No
8801328,Illinois,4-187-010-8525,239,2,2,0,Tradeshow,No
0691075,Washington,5-505-560-5313,85,4,4,5,Adwords,No
8311372,Maine,5-175-663-8455,126,3,4,1,Print,No
1802550,Idaho,6-765-012-1230,232,5,6,0,Tradeshow,No
0302643,Connecticut,4-434-568-6854,80,12,9,11,Tradeshow,Yes
5099683,Delaware,4-620-038-8140,77,22,22,6,Adwords,Yes
3967189,Wisconsin,1-325-702-5023,163,3,3,5,Print,No
8131691,Delaware,3-206-748-0400,72,16,21,14,Adwords,Yes
6083132,New Jersey,3-782-522-4846,55,7,28,12,Webinar,Yes
6263389,Rhode Island,2-463-003-8452,206,5,2,0,Adwords,No
8711193,Massachussets,8-514-382-8711,124,7,3,0,Tradeshow,No
9480180,Arizona,0-170-517-2736,177,6,6,5,Webinar,No
8145345,Connecticut,0-046-226-1076,61,24,22,13,Adwords,Yes
2239700,Maryland,7-520-528-8606,166,3,6,4,Adwords,No
1330608,Iowa,4-855-765-2261,125,3,7,5,Webinar,No
0552286,New Jersey,3-730-718-8338,95,5,25,10,Webinar,Yes
3508562,South Dakota,2-233-733-5764,233,7,3,4,Tradeshow,No
7582694,California,3-407-523-4015,130,3,3,4,Adwords,No
2312066,Delaware,0-026-577-2585,51,28,13,9,Adwords,Yes
0482165,Massachussets,3-707-618-6642,240,4,3,0,Tradeshow,No
5609192,New Mexico,3-178-120-0406,192,7,4,2,Tradeshow,No
5670398,Mississippi,1-031-672-3752,148,3,7,2,Tradeshow,No
4218601,Maryland,5-668-431-7846,70,9,27,6,Tradeshow,Yes
7205392,Maryland,7-875-661-2053,88,14,13,11,Tradeshow,Yes
7618849,Delaware,1-558-128-2011,188,2,2,3,Tradeshow,No
0986132,Colorado,5-811-247-8638,117,4,4,1,Adwords,No
8332899,New York,1-210-040-6023,90,5,7,13,Adwords,Yes
1364915,Washington,1-444-762-1801,148,4,3,4,Print,No
0636583,Alaska,2-530-250-5241,103,2,4,0,Webinar,No
5454595,New Jersey,0-878-231-1604,88,15,15,14,Webinar,Yes
7648622,Virginia,4-082-443-2538,126,2,2,1,Tradeshow,No
6079729,Delaware,8-384-422-7383,83,10,28,11,Adwords,Yes
0146731,Nevada,5-454-855-6248,233,7,3,4,Tradeshow,No
7302796,Michigan,8-302-721-7244,231,2,4,0,Print,No
2156398,New Mexico,4-585-148-1581,169,5,5,1,Print,No
0313396,New York,5-044-208-8724,94,4,7,2,Print,No
4458966,Idaho,8-020-240-3738,200,2,6,1,Print,No
1321514,Nevada,3-544-656-0072,168,2,5,1,Adwords,No
5980498,Kentucky,0-403-383-5256,137,5,6,5,Tradeshow,No
3608215,Texas,2-334-714-6753,204,3,7,2,Webinar,No
9926651,Hawaii,5-075-558-5301,137,4,2,3,Tradeshow,No
4881434,South Dakota,6-842-812-6385,216,7,4,4,Print,No
1145567,Louisiana,3-431-801-7011,155,2,5,2,Tradeshow,No
3985900,Georgia,4-808-041-2027,113,7,7,3,Webinar,No
9596108,Iowa,3-184-288-2327,238,4,6,0,Tradeshow,No
7976827,Georgia,3-653-240-0478,96,4,3,2,Tradeshow,No
8306714,Iowa,7-750-658-2430,120,6,5,0,Print,No
0862094,Massachussets,1-714-124-4767,223,5,2,5,Tradeshow,No
6064437,Arkansas,5-063-508-8667,126,6,5,0,Print,No
3550037,Wyoming,2-350-866-2081,153,6,3,3,Tradeshow,No
4018809,Oregon,5-440-064-3670,242,7,7,1,Tradeshow,No
2464092,Louisiana,2-353-035-2072,219,4,5,1,Tradeshow,No
9925742,Minnesota,4-643-183-3575,124,7,2,2,Tradeshow,No
3552173,Maryland,5-420-760-6576,94,13,28,12,Tradeshow,Yes
9515046,Georgia,3-423-042-7751,146,2,6,5,Adwords,No
0113410,Nevada,5-808-858-6622,202,5,6,2,Print,No
5720880,New Jersey,2-568-360-4674,55,19,29,12,Webinar,Yes
0067230,Georgia,1-473-312-2332,128,5,4,4,Webinar,No
3148795,Alabama,0-183-707-5885,181,2,6,5,Print,No
7831380,Arizona,8-462-358-2041,85,2,5,5,Tradeshow,No
3717506,Vermont,2-076-306-6242,103,6,6,4,Print,No
8199329,Delaware,2-605-521-4461,85,23,19,4,Adwords,Yes
1641602,California,2-250-032-1148,199,2,5,5,Print,No
0449956,North Carolina,2-820-517-1172,96,3,2,0,Tradeshow,No
3156556,New Jersey,7-662-417-4067,124,6,2,1,Webinar,No
6237349,Kansas,2-586-451-4318,157,6,6,1,Print,No
2125864,Arizona,8-755-386-2544,91,4,2,4,Tradeshow,No
8149762,Vermont,2-444-762-2764,127,7,7,0,Tradeshow,No
3937019,Louisiana,4-703-625-6855,140,3,4,2,Tradeshow,No
8706571,Montana,5-235-827-5076,109,3,2,0,Adwords,No
1710350,Connecticut,8-155-580-5672,120,6,5,1,Tradeshow,No
1730254,North Dakota,7-511-522-6253,122,5,6,1,Webinar,No
4031313,Delaware,8-660-140-0557,86,27,19,3,Adwords,Yes
3484401,Hawaii,2-621-374-2725,226,7,5,1,Print,No
1180913,Delaware,8-701-402-8486,87,8,15,6,Adwords,Yes
1087165,New Jersey,2-234-585-1664,53,13,13,14,Webinar,Yes
6859840,Washington,1-224-224-1163,116,5,4,4,Print,No
7266969,Mississippi,6-260-108-2468,229,5,6,5,Print,No
2523840,Delaware,8-537-687-1011,85,22,24,7,Adwords,Yes
2838723,South Dakota,0-153-018-8220,140,3,6,4,Print,No
9196135,Alaska,8-023-347-0172,100,7,6,5,Tradeshow,No
9760604,Alabama,2-244-827-4127,108,2,3,3,Tradeshow,No
6897621,New York,4-314-384-2161,95,4,2,0,Tradeshow,No
6911921,Maryland,3-220-574-3722,193,6,7,5,Print,No
2319158,Nevada,4-075-833-8383,166,6,2,4,Tradeshow,No
1665666,Idaho,6-788-132-4057,119,2,4,3,Webinar,No
8359176,Rhode Island,0-045-207-8482,200,2,5,4,Webinar,No
8949695,Tennessee,5-804-518-4583,221,5,7,3,Print,No
5567234,Maryland,1-157-655-7881,172,2,3,4,Print,No
8438614,Nebraska,7-055-757-1728,155,5,4,2,Print,No
5216867,Hawaii,6-503-482-3221,104,7,6,2,Webinar,No
6405340,Maryland,4-062-503-7813,96,5,8,7,Tradeshow,Yes
7955678,California,3-704-858-7373,113,5,7,5,Webinar,No
6990837,Maryland,1-483-874-5232,126,7,4,5,Adwords,No
8965241,Delaware,0-430-434-4680,60,25,5,11,Adwords,Yes
8570279,Missouri,1-121-548-8280,130,4,6,4,Tradeshow,No
8753957,Texas,8-868-816-1640,99,5,4,3,Webinar,No
1618494,Iowa,2-030-187-2877,223,2,7,1,Tradeshow,No
6573560,Pennsylvania,6-022-885-4344,66,13,15,8,Webinar,Yes
4625163,Wyoming,4-824-102-3158,182,3,5,1,Print,No
4823985,Delaware,8-512-032-3421,81,9,19,13,Adwords,Yes
8425944,Kentucky,1-722-887-2866,149,3,5,0,Adwords,No
2777599,Maryland,3-012-533-4767,226,6,4,5,Adwords,No
4967728,Connecticut,3-725-451-6734,248,4,7,4,Webinar,No
0338803,Washington,3-523-108-1327,196,7,5,0,Webinar,No
1385327,Connecticut,3-054-615-2730,89,13,11,14,Adwords,Yes
3702909,Maryland,4-720-823-8523,78,15,10,13,Tradeshow,Yes
3997851,Hawaii,1-541-451-6870,229,7,4,3,Webinar,No
1699320,Massachussets,0-686-670-7810,148,7,4,2,Print,No
8838996,Illinois,8-251-855-5884,225,7,3,1,Tradeshow,No
2908903,Maryland,8-183-063-3564,240,5,4,1,Webinar,No
5594478,New Mexico,7-620-556-6381,213,4,4,3,Print,No
7392584,Arizona,3-418-672-5208,199,3,3,1,Print,No
9462357,Texas,0-664-656-3601,110,4,4,4,Webinar,No
6322076,Oregon,5-348-533-4318,209,4,3,0,Tradeshow,No
8149906,Alaska,3-576-237-8084,211,7,5,3,Webinar,No
0494335,South Carolina,4-726-377-8438,226,7,4,4,Tradeshow,No
4222195,Connecticut,2-375-312-6634,56,15,10,7,Adwords,Yes
7732240,New York,6-175-782-7080,248,7,7,0,Webinar,No
5169644,Connecticut,2-663-134-2384,227,2,4,4,Tradeshow,No
2946175,Connecticut,2-836-874-1376,83,29,20,5,Print,Yes
1559379,Delaware,4-036-410-3204,74,5,27,9,Adwords,Yes
7246887,Minnesota,1-576-524-5024,227,3,3,3,Print,No
8382651,Montana,3-157-410-4680,183,7,2,0,Adwords,No
7521035,Delaware,2-306-480-5232,221,3,4,1,Print,No
2414106,South Dakota,6-685-016-0850,151,5,2,1,Print,No
6762540,New Mexico,3-631-531-5433,136,2,4,4,Adwords,No
2831289,New Hampshire,6-837-362-7722,139,3,5,3,Print,No
4290951,New Jersey,0-356-114-7067,83,7,19,5,Webinar,Yes
5108098,Alabama,1-453-302-8145,165,4,2,5,Adwords,No
7006817,New Jersey,1-874-332-4482,98,25,21,13,Webinar,Yes
3015637,Nevada,2-077-306-8820,103,2,5,4,Webinar,No
2232844,Maryland,0-814-581-6806,60,23,25,3,Tradeshow,Yes
2738049,Florida,0-848-535-4551,164,7,3,4,Tradeshow,No
4221028,Hawaii,8-161-327-6747,190,6,2,2,Print,No
3742303,Connecticut,0-308-245-5362,66,12,15,9,Print,Yes
4522041,Maine,2-267-552-1714,224,5,6,5,Print,No
6531456,Iowa,1-104-077-0216,191,3,2,4,Print,No
0107424,Delaware,3-200-567-3386,247,6,6,0,Webinar,No
3243829,New Mexico,4-768-062-8843,142,2,3,3,Tradeshow,No
3406016,Georgia,2-653-301-8038,211,4,7,1,Tradeshow,No
8104443,Pennsylvania,1-834-341-3277,59,17,21,14,Webinar,Yes
7243580,Montana,4-774-417-8122,152,5,5,3,Print,No
0706452,Maryland,0-018-116-1700,71,8,22,8,Tradeshow,Yes
2904090,Kansas,0-846-888-2420,244,2,2,0,Webinar,No
2349645,South Carolina,4-203-701-4267,125,6,3,0,Print,No
7614358,New Jersey,1-240-311-5287,64,25,25,9,Webinar,Yes
2227725,Delaware,0-832-066-3115,52,13,22,7,Adwords,Yes
9241878,New Jersey,4-154-828-8206,76,15,20,14,Webinar,Yes
8562235,South Dakota,5-561-846-5463,205,4,2,3,Webinar,No
6829836,Wyoming,3-157-378-8181,223,6,7,3,Print,No
6808496,Colorado,2-168-644-0886,86,7,4,5,Tradeshow,No
8536967,New Jersey,7-843-161-2604,70,13,29,6,Webinar,Yes
8167016,Wisconsin,8-432-007-1053,104,4,3,2,Tradeshow,No
6700759,Wyoming,4-832-717-6355,169,2,4,5,Print,No
4096923,Maine,3-514-028-2724,247,4,4,0,Print,No
9663714,Minnesota,3-475-448-0876,122,6,6,2,Tradeshow,No
1831442,Kansas,6-165-545-5628,117,3,2,4,Tradeshow,No
1597282,New Jersey,0-461-070-4885,83,6,17,3,Webinar,Yes
0068425,Alabama,3-465-562-3562,198,4,6,2,Tradeshow,No
3570858,Florida,4-453-828-1865,148,3,2,4,Webinar,No
4716857,Maryland,1-162-300-6255,86,5,25,11,Tradeshow,Yes
1348223,New York,8-427-466-5441,111,4,7,4,Adwords,No
3119924,Connecticut,6-875-271-6845,67,9,28,10,Adwords,Yes
4351110,Delaware,0-730-270-2152,55,28,7,5,Adwords,Yes
0994745,Pennsylvania,5-675-166-1547,105,3,6,1,Print,No
6397824,New Jersey,3-534-210-2513,202,4,3,5,Print,No
3774262,Louisiana,3-005-630-8558,135,3,4,3,Tradeshow,No
4337236,Iowa,3-486-434-2881,128,5,2,2,Print,No
0869484,Rhode Island,1-482-372-4107,159,6,3,4,Print,No
6618007,Delaware,7-365-016-6382,57,23,26,6,Adwords,Yes
8478287,West Virginia,3-031-656-8045,153,2,5,4,Print,No
9287910,Georgia,6-077-633-1275,182,2,7,4,Print,No
3773583,Kansas,5-000-208-1833,120,4,7,3,Webinar,No
9521393,Kansas,2-322-540-4266,151,7,6,3,Webinar,No
3163873,Massachussets,2-713-108-6320,112,6,7,4,Tradeshow,No
0580507,Virginia,4-612-178-4132,181,7,6,3,Tradeshow,No
0861800,Connecticut,7-570-542-6858,84,28,23,9,Print,Yes
8398405,Delaware,7-612-840-5728,79,18,27,9,Adwords,Yes
7904165,Delaware,0-223-764-1873,65,9,6,12,Adwords,Yes
4739035,Louisiana,7-774-252-1132,149,6,4,0,Webinar,No
8471497,Maryland,5-638-461-8333,69,20,16,12,Tradeshow,Yes
6736732,Washington,4-884-064-1274,94,3,3,2,Webinar,No
8672851,Connecticut,1-572-200-0420,69,15,17,14,Print,Yes
0321192,Kansas,3-776-764-7842,238,3,3,2,Print,No
3033319,Pennsylvania,6-656-418-1174,57,7,17,13,Webinar,Yes
4273681,Montana,5-653-862-0480,170,2,4,0,Tradeshow,No
0193511,Mississippi,2-056-335-1436,191,6,5,3,Print,No
8887096,New Mexico,4-021-507-5356,224,3,4,0,Adwords,No
0059741,Kentucky,3-020-124-1774,170,5,7,0,Tradeshow,No
1942356,Ohio,6-607-544-5464,153,7,7,5,Adwords,No
9678183,Georgia,5-215-826-8174,122,4,5,0,Print,No
5962849,Maryland,4-566-038-2463,90,13,22,6,Tradeshow,Yes
2100905,New Jersey,1-431-630-5077,73,26,9,14,Webinar,Yes
3100127,New York,7-888-471-2130,70,14,24,12,Webinar,Yes
6611230,Pennsylvania,6-136-574-6680,89,6,13,6,Webinar,Yes
