ID,State,PhoneNumber,WebsiteVisits,CompanySize,EmailOpens,EmailClicks,LeadSource,Customer
8471497,Maryland,0-578-505-6201,11,77,12,6,Webinar,Yes
2486851,Maryland,1-058-385-7516,6,62,15,7,Webinar,Yes
8522180,Montana,4-413-470-2012,15,147,2,6,Adwords,No
9588995,Virginia,7-738-707-7668,11,104,9,2,Tradeshow,No
3100127,New York,8-721-885-4788,24,79,20,11,Adwords,Yes
3967793,Connecticut,8-477-052-5556,23,60,27,3,Webinar,Yes
0445896,New York,6-333-807-3111,9,90,9,9,Adwords,Yes
7847361,Georgia,1-754-011-0446,6,75,11,4,Tradeshow,No
0878617,New Jersey,2-340-344-4816,12,88,23,3,Adwords,Yes
8711193,New Jersey,1-415-036-1381,15,100,8,5,Tradeshow,No
0428983,Montana,0-203-345-1207,4,146,4,0,Tradeshow,No
5718393,Oregon,5-018-683-7645,16,99,7,3,Webinar,No
6079729,Delaware,6-850-664-8875,26,59,23,6,Webinar,Yes
9092150,Vermont,0-307-041-6470,8,104,19,3,Adwords,No
7006817,New Jersey,8-364-162-5582,17,65,9,9,Adwords,Yes
2900171,Maryland,8-356-305-4035,22,98,23,9,Webinar,Yes
1359054,Virginia,1-410-217-7632,7,122,19,0,Print,No
6980918,Colorado,4-764-388-8033,5,144,10,4,Print,Yes
0953193,Pennsylvania,1-512-404-6155,20,78,20,4,Adwords,Yes
6808496,Colorado,1-056-825-2452,3,107,7,8,Tradeshow,No
1330608,Montana,7-548-763-0442,13,144,2,4,Adwords,No
8482277,New York,2-164-214-5488,5,89,26,5,Print,Yes
6503333,North Carolina,1-113-543-3220,9,149,7,1,Print,No
4313388,North Carolina,1-408-482-7582,5,144,14,8,Tradeshow,No
1943895,Illinois,3-632-434-2871,10,124,10,1,Tradeshow,No
5424237,Montana,4-676-623-5851,3,112,14,4,Print,No
0338803,Colorado,4-380-481-7758,11,103,19,0,Print,No
2130510,New Jersey,8-172-727-7581,13,116,2,1,Adwords,No
6719286,Oregon,4-461-520-3210,6,137,12,7,Tradeshow,No
2738049,Vermont,2-340-755-8732,8,144,6,2,Tradeshow,No
6850549,Pennsylvania,4-781-588-3622,11,81,14,3,Print,No
2288175,Illinois,7-220-246-6230,15,101,14,3,Webinar,No
4972596,Montana,2-633-628-7454,7,131,4,4,Tradeshow,No
0113410,Oregon,8-637-200-5784,15,147,4,2,Tradeshow,No
3505960,New Jersey,6-658-844-8401,4,131,18,6,Print,No
1853435,Vermont,5-457-843-2031,17,129,15,1,Webinar,No
0321192,Colorado,8-546-718-8657,2,111,5,3,Print,No
2649695,Pennsylvania,3-125-131-3282,15,63,4,7,Adwords,Yes
3996565,Connecticut,4-820-752-7760,17,75,20,14,Tradeshow,Yes
7171271,Georgia,5-705-825-6870,9,106,8,8,Print,No
0405850,Colorado,8-437-347-4672,14,137,18,2,Tradeshow,No
6561359,New Jersey,2-127-408-0680,15,131,5,3,Tradeshow,No
5982171,North Carolina,1-477-376-5840,8,85,12,8,Webinar,No
7614358,New Jersey,0-816-138-7640,16,75,15,7,Print,Yes
2689691,Montana,8-464-505-4732,12,75,4,9,Adwords,No
7352886,Colorado,4-268-657-4762,6,142,12,2,Tradeshow,No
3097608,Illinois,8-686-211-1473,11,117,19,8,Adwords,No
5693875,Pennsylvania,4-630-820-1071,9,125,11,0,Tradeshow,No
8438614,Vermont,0-000-067-4362,6,129,19,2,Tradeshow,No
6237349,Colorado,5-833-664-1055,3,143,15,1,Print,No
1615098,Delaware,0-275-476-4017,22,67,5,9,Tradeshow,Yes
6312528,Connecticut,1-281-258-3465,19,70,5,12,Webinar,Yes
3773583,Colorado,0-563-657-7737,11,106,17,3,Adwords,No
9515046,Maryland,7-003-680-6114,2,144,9,4,Print,No
9046520,Montana,8-575-625-4232,14,129,12,5,Print,No
5609192,Colorado,0-622-680-2321,2,110,16,0,Webinar,No
0978057,Ohio,6-642-334-4158,7,103,14,1,Print,No
4339029,Vermont,1-617-306-8347,11,134,9,7,Tradeshow,No
6698720,Oregon,6-404-840-1082,12,89,18,6,Print,No
2462605,Ohio,8-127-280-7830,6,105,9,1,Tradeshow,No
1209867,Oregon,6-074-466-5608,8,140,16,3,Webinar,No
5260678,Delaware,0-448-617-7535,13,54,27,3,Tradeshow,Yes
9308115,North Carolina,5-467-745-2707,7,75,16,7,Print,No
6829836,Wyoming,2-760-664-4161,6,82,3,1,Print,No
2988490,Oregon,5-183-606-7116,2,82,9,4,Webinar,No
3211880,Montana,3-434-881-3332,15,104,12,5,Adwords,No
1180913,Oregon,0-013-583-2475,14,140,9,11,Print,Yes
0197634,Connecticut,3-711-238-0454,13,95,10,6,Webinar,Yes
6982046,North Carolina,8-310-450-4443,9,116,14,0,Print,No
7026158,Oregon,3-410-883-1372,15,99,5,4,Webinar,No
4568404,North Carolina,2-677-214-0508,15,76,18,2,Webinar,No
0382344,Delaware,0-220-442-8208,14,79,22,10,Tradeshow,Yes
2481407,New Jersey,4-083-852-0267,7,110,19,7,Adwords,No
0914981,New York,6-155-243-8245,4,106,16,5,Adwords,No
7089547,Connecticut,8-836-334-1747,6,79,15,11,Tradeshow,Yes
7160053,New Jersey,2-852-374-3362,10,92,21,4,Adwords,Yes
4467003,North Carolina,6-452-576-0340,8,107,8,8,Print,No
6103058,Ohio,6-086-221-5423,13,132,15,5,Tradeshow,No
9648740,Montana,1-283-340-4547,2,137,19,0,Webinar,No
7393035,Delaware,6-812-848-7805,8,92,6,0,Tradeshow,No
1196156,Ohio,1-278-162-7628,13,106,6,6,Tradeshow,No
6359696,North Carolina,4-184-602-2052,2,101,5,2,Print,No
1866364,Montana,7-422-102-4735,7,93,12,7,Tradeshow,No
8689508,Ohio,4-741-738-0478,9,88,13,6,Print,No
4571639,Vermont,8-653-056-3543,15,75,9,3,Adwords,No
4320110,Montana,0-155-403-6263,2,83,2,8,Tradeshow,No
0319832,Illinois,4-703-672-2213,11,129,8,8,Print,No
6952807,Montana,4-673-642-1423,9,117,7,5,Print,No
2387963,Indiana,2-312-570-4616,7,83,2,4,Webinar,No
1763001,Connecticut,1-556-210-2321,13,53,14,12,Webinar,Yes
4197887,Indiana,7-534-663-3627,4,139,13,0,Print,No
1831442,Colorado,7-716-126-6517,7,122,5,5,Tradeshow,No
2313212,Colorado,5-837-484-5214,17,121,4,8,Webinar,No
5775148,New York,0-753-511-5887,2,128,9,1,Adwords,No
5656545,Indiana,4-537-613-0668,6,88,12,6,Webinar,No
8579787,Montana,3-588-858-8671,12,131,3,4,Tradeshow,No
0110074,New York,8-130-821-6403,14,101,10,8,Print,No
3015637,Oregon,5-183-068-1311,10,110,9,4,Adwords,No
0108849,Pennsylvania,8-568-074-6878,13,62,26,6,Tradeshow,Yes
7218727,Vermont,1-048-010-7348,9,80,2,7,Webinar,No
1216840,Maryland,6-266-615-7361,29,79,12,12,Webinar,Yes
9615958,Colorado,7-227-106-6402,2,129,2,1,Adwords,No
4967728,Connecticut,5-358-184-1814,3,145,8,5,Adwords,No
6168295,Vermont,8-145-132-7453,13,123,18,14,Print,Yes
8131554,New Jersey,1-367-074-0866,10,116,15,2,Print,No
3139652,Delaware,1-031-578-7711,14,82,3,0,Print,No
2225273,Montana,4-350-475-4815,10,83,3,5,Print,No
3291336,Connecticut,2-244-360-1358,10,124,3,0,Print,No
9286248,Ohio,8-347-540-5412,14,81,3,2,Tradeshow,No
0548761,Montana,8-352-651-8480,12,79,6,2,Tradeshow,No
1345477,North Carolina,0-234-805-5865,7,146,7,4,Tradeshow,No
4014896,North Carolina,0-103-087-3836,15,124,14,6,Tradeshow,No
5962849,Maryland,5-560-778-6251,24,99,10,11,Webinar,Yes
1477647,Vermont,7-735-547-0655,2,78,18,8,Print,No
2040792,Pennsylvania,6-032-643-4056,7,139,19,3,Webinar,No
1802550,Montana,2-624-322-0666,8,99,9,4,Tradeshow,No
7397711,Montana,2-425-201-7077,11,139,19,2,Print,No
3611344,Delaware,6-667-280-7571,28,63,6,8,Print,Yes
7267818,Oregon,4-710-678-8552,13,102,6,0,Print,No
6897621,New York,6-240-702-4441,11,113,5,0,Webinar,No
3967189,North Carolina,5-131-616-8845,15,148,10,4,Tradeshow,No
9706502,Ohio,4-750-512-6870,15,91,10,7,Webinar,Yes
8179104,Delaware,6-112-125-1113,12,116,18,3,Adwords,No
8431153,Illinois,2-368-760-7823,9,90,17,1,Adwords,No
6359193,Illinois,1-411-748-5400,17,118,2,2,Tradeshow,No
3310283,New Jersey,4-262-020-6245,3,144,8,2,Webinar,No
1732218,Montana,4-801-026-1208,8,88,10,5,Print,No
1087165,New Jersey,3-562-220-3076,27,98,24,11,Tradeshow,Yes
2687318,Montana,5-477-578-4416,2,118,14,0,Print,No
2227725,Oregon,0-084-104-6172,14,121,12,4,Print,Yes
1559110,Colorado,4-138-404-8524,6,116,11,3,Webinar,No
0742761,Montana,1-373-873-0358,10,124,10,8,Webinar,No
2973299,Maryland,3-680-076-4833,25,71,28,10,Webinar,Yes
4955735,Montana,7-863-763-0511,16,119,19,1,Webinar,No
8768909,Pennsylvania,1-660-166-3840,27,93,21,10,Adwords,Yes
7357040,Vermont,4-634-168-6665,11,106,4,2,Print,No
1626205,Oregon,0-057-616-1811,7,113,18,3,Webinar,No
0494335,Georgia,3-153-142-4151,5,83,17,1,Tradeshow,No
1144410,Montana,2-384-040-0774,3,143,16,1,Print,No
0068425,Montana,5-216-770-5270,8,145,19,8,Tradeshow,No
2361005,Maryland,7-487-753-4270,28,78,5,10,Webinar,Yes
2125864,Illinois,3-466-044-0418,12,146,2,2,Webinar,No
5428900,Montana,7-826-611-2406,4,143,13,3,Tradeshow,No
3814456,New Jersey,0-277-143-1811,18,51,14,9,Tradeshow,Yes
1110136,Delaware,4-554-016-2385,10,63,11,5,Tradeshow,Yes
6757092,New York,8-638-503-1726,10,147,2,5,Tradeshow,No
7775211,Colorado,7-250-824-8436,13,95,11,8,Print,No
8917929,Connecticut,8-680-405-1527,24,67,7,8,Webinar,Yes
9412904,Connecticut,7-373-365-0543,26,92,9,7,Webinar,Yes
4326308,Illinois,4-714-607-4641,4,141,6,0,Webinar,No
8030268,Montana,1-751-888-0565,12,114,12,6,Print,No
8663982,Illinois,7-426-581-1161,2,98,9,8,Print,No
8625804,New York,8-875-506-3305,16,118,11,3,Adwords,No
3717506,Vermont,6-477-073-2780,11,130,12,0,Print,No
2464092,North Carolina,1-211-466-8573,14,88,13,7,Webinar,No
0994745,Pennsylvania,0-613-103-2708,14,111,7,7,Print,No
3307976,Delaware,7-051-258-0862,10,78,16,6,Print,Yes
0206720,North Carolina,5-863-435-1565,10,125,15,2,Tradeshow,No
1257315,Connecticut,8-470-414-1400,8,126,11,5,Webinar,No
7560717,Delaware,6-157-838-3681,19,81,8,12,Tradeshow,Yes
3891303,Connecticut,8-200-161-6071,4,119,19,4,Print,No
5217432,Ohio,3-355-055-6473,12,112,18,2,Webinar,No
0616042,Illinois,6-803-161-2532,17,99,5,2,Webinar,No
4925884,Connecticut,0-868-432-6620,5,76,2,4,Print,No
9101563,Oregon,5-260-531-5268,11,131,9,6,Tradeshow,No
9321603,Oregon,0-812-787-5271,17,131,14,0,Webinar,No
8732270,Montana,5-334-651-8006,20,69,6,11,Print,Yes
6142711,Illinois,0-550-382-6523,16,117,2,6,Print,No
2666842,New Jersey,7-305-458-8430,23,55,17,10,Adwords,Yes
8149762,Pennsylvania,1-166-284-4216,4,100,7,5,Tradeshow,No
5688857,Oregon,3-172-601-5780,3,122,16,6,Tradeshow,No
9975718,Pennsylvania,3-043-548-3627,28,68,29,7,Adwords,Yes
3242680,Maryland,1-162-867-7524,12,124,4,8,Adwords,No
4740708,Colorado,8-074-885-3880,14,136,8,8,Print,No
9310097,Delaware,1-205-875-0887,20,87,21,3,Tradeshow,Yes
6265674,Montana,6-655-235-6174,14,126,6,0,Print,No
1216956,Illinois,5-056-846-1502,10,117,6,1,Print,No
2375191,Delaware,3-873-062-4636,14,80,7,3,Adwords,No
4746688,Montana,2-448-830-3408,5,90,19,5,Print,No
8223103,Delaware,5-841-618-5505,4,118,5,0,Print,No
1990070,New Jersey,1-180-811-8675,13,106,12,1,Adwords,No
0776455,Pennsylvania,8-728-385-5440,9,98,7,5,Adwords,No
5922349,Montana,5-021-587-7580,10,100,3,4,Print,No
4908730,New Jersey,3-570-105-6546,12,148,4,7,Adwords,No
8382651,Montana,5-071-758-3378,12,81,9,6,Print,No
6736732,Colorado,0-301-415-1277,12,123,12,5,Adwords,No
4770380,Montana,1-710-155-1725,2,77,17,0,Webinar,No
4632556,Ohio,1-381-471-5322,17,124,18,6,Adwords,No
3582429,Delaware,4-747-383-1052,29,90,8,11,Tradeshow,Yes
2775671,Maryland,0-767-468-5122,4,103,2,3,Tradeshow,No
5341867,Pennsylvania,7-151-633-7128,9,125,12,7,Tradeshow,No
6051880,Vermont,2-057-502-3122,10,96,4,6,Webinar,No
3149377,Montana,4-742-100-6663,2,140,6,5,Tradeshow,No
3484401,Oregon,1-751-703-4355,14,148,11,4,Print,No
4255672,Oregon,3-306-126-1664,7,146,11,8,Print,No
1030214,New York,3-102-000-4740,14,134,19,0,Adwords,No
0336857,Connecticut,4-835-167-0030,6,60,16,7,Webinar,Yes
1671946,North Carolina,7-755-717-3424,13,115,14,4,Webinar,No
5711928,Virginia,3-128-640-0282,2,107,17,0,Webinar,No
2946175,Indiana,0-667-623-5050,28,97,28,14,Webinar,Yes
7831380,Illinois,6-428-476-5236,11,113,6,6,Tradeshow,No
1005330,Montana,8-743-534-2537,4,96,3,4,Tradeshow,No
4257024,Vermont,8-613-341-5504,15,108,15,4,Tradeshow,No
1524629,Indiana,0-821-108-8812,9,136,19,1,Webinar,No
8753957,Montana,0-714-026-7403,5,89,7,0,Adwords,No
5216867,Oregon,6-103-577-5003,5,95,12,1,Adwords,No
4290951,New Jersey,4-301-846-6146,9,90,7,8,Print,Yes
4886716,Montana,4-464-788-3433,2,113,4,3,Webinar,No
2032568,Montana,0-153-444-5144,11,149,18,3,Adwords,No
2349645,New York,4-848-111-6441,5,81,6,4,Tradeshow,No
2319158,Oregon,6-804-612-3320,11,95,13,6,Webinar,No
9100024,Colorado,8-414-381-6603,14,104,11,4,Print,No
1021078,Illinois,8-231-165-4210,16,88,12,8,Print,No
0050017,New Jersey,4-358-343-4723,17,120,18,8,Tradeshow,No
8823418,Vermont,2-206-415-6846,12,87,8,0,Adwords,No
1192837,Maryland,3-615-842-5780,6,54,18,14,Webinar,Yes
0771879,Pennsylvania,6-478-858-0120,23,61,24,12,Adwords,Yes
9204982,Oregon,1-552-671-7631,8,102,5,6,Print,No
6996934,Oregon,0-518-475-1375,5,146,6,2,Webinar,No
6708785,Colorado,7-455-167-7437,7,108,17,4,Print,No
4039852,Illinois,4-734-763-7607,7,139,6,7,Print,No
4031313,Delaware,8-466-475-8313,15,91,11,5,Tradeshow,Yes
8478287,Illinois,2-258-606-3561,17,119,3,2,Print,No
3599780,New York,5-804-483-8662,8,94,17,5,Tradeshow,Yes
2852632,Oregon,5-307-373-0007,5,123,7,4,Adwords,No
0680882,Connecticut,0-187-155-0704,6,143,11,3,Adwords,No
6519781,Connecticut,6-646-833-1086,5,90,7,7,Print,No
3046487,Illinois,7-366-122-0012,12,143,15,7,Print,No
2787666,Oregon,3-601-135-7855,9,103,13,5,Adwords,No
0087853,New York,2-417-188-0538,15,88,15,8,Adwords,No
2801331,North Carolina,1-410-625-6271,11,79,8,3,Tradeshow,No
2559047,Connecticut,7-484-671-1726,7,66,16,11,Webinar,Yes
3065666,Colorado,8-037-467-3237,11,103,12,4,Tradeshow,No
1597282,Illinois,5-571-072-2420,23,67,18,7,Adwords,Yes
4881434,Georgia,7-264-572-8550,14,81,19,1,Print,No
8570692,Connecticut,8-146-584-8503,2,78,8,2,Print,No
8801328,Illinois,6-152-075-3031,17,91,7,2,Tradeshow,No
9519220,New York,7-767-441-0506,7,126,10,5,Print,No
8464447,Oregon,0-772-870-8105,3,142,18,3,Print,No
8206387,Illinois,4-221-383-0508,6,114,11,7,Print,No
5158119,Colorado,7-430-544-3127,12,97,3,0,Tradeshow,No
5857099,Oregon,4-405-632-5426,16,116,12,2,Webinar,No
2381523,Vermont,2-348-543-8343,11,129,14,3,Webinar,No
0146731,Oregon,6-532-654-7813,8,100,7,1,Tradeshow,No
7266969,Montana,3-326-806-5227,14,100,15,7,Tradeshow,No
0986132,Colorado,0-826-142-5070,6,107,18,7,Print,No
3163873,Oregon,7-650-608-6052,14,103,16,6,Tradeshow,No
9304891,Oregon,4-773-036-0644,21,57,16,9,Webinar,Yes
1108688,Ohio,6-346-810-1864,2,148,5,2,Webinar,No
0482165,Oregon,8-383-151-8264,3,117,11,6,Tradeshow,No
4823985,Delaware,4-218-312-0477,25,93,26,6,Print,Yes
0861800,Connecticut,3-250-146-3665,26,95,8,9,Webinar,Yes
4118903,Georgia,1-711-111-1618,5,138,9,3,Tradeshow,No
2472378,New Jersey,7-281-136-8613,6,97,10,8,Tradeshow,Yes
8943954,Virginia,2-615-462-6752,8,127,4,5,Webinar,No
9702043,New York,6-715-761-7730,25,84,12,12,Print,Yes
8145345,Connecticut,2-868-080-8430,15,82,15,14,Tradeshow,Yes
4074910,Montana,4-114-812-4322,5,134,2,7,Adwords,No
6573560,Pennsylvania,7-637-831-1551,6,61,6,7,Adwords,Yes
0500612,Delaware,0-585-813-7571,11,91,9,14,Print,Yes
5108098,Montana,3-371-332-2107,3,126,15,3,Print,No
8755632,Delaware,3-236-207-7060,21,60,11,14,Tradeshow,Yes
1944845,Colorado,7-325-524-5840,12,77,7,2,Webinar,No
9324650,Maryland,2-888-755-8601,7,50,26,9,Webinar,Yes
4273681,Montana,0-508-885-7707,16,123,14,1,Webinar,No
2232844,Maryland,3-851-568-8861,28,77,4,7,Webinar,Yes
8562235,Georgia,0-263-631-8646,5,135,16,7,Print,No
0028189,Colorado,3-340-234-1611,15,141,15,6,Tradeshow,No
1662076,Pennsylvania,3-684-316-0187,15,96,15,5,Tradeshow,No
2633989,Illinois,1-114-121-7802,10,81,13,4,Webinar,Yes
0540105,New Jersey,8-217-430-5325,14,141,4,8,Adwords,No
0744171,Illinois,6-466-476-5440,9,99,2,3,Print,No
4994619,Oregon,5-163-567-6161,7,89,18,7,Print,No
9005236,Vermont,3-823-210-7843,6,78,12,8,Tradeshow,No
5973142,New Jersey,7-342-362-0722,16,79,6,7,Tradeshow,Yes
5594478,Colorado,5-870-572-4444,4,134,18,2,Tradeshow,No
4923729,Ohio,1-413-057-6602,19,77,29,3,Adwords,Yes
0056721,Maryland,2-026-270-5135,26,87,26,4,Webinar,Yes
0895457,Illinois,7-306-637-1484,4,140,15,8,Print,No
7302796,Maryland,6-086-653-7270,10,121,14,3,Print,No
2292432,Vermont,4-451-432-0131,14,87,12,0,Tradeshow,No
3608215,Montana,0-236-072-4140,2,103,13,4,Adwords,No
1805727,Illinois,0-577-123-0227,16,112,15,2,Print,No
4246955,Ohio,7-861-282-4616,5,149,7,3,Tradeshow,No
5654797,North Carolina,1-803-218-4737,10,89,18,1,Webinar,No
1118368,Ohio,7-346-174-4138,17,90,4,5,Tradeshow,Yes
1532611,Colorado,8-747-038-8755,7,144,19,4,Print,No
0834200,North Carolina,6-284-438-7861,9,126,3,4,Tradeshow,No
8084155,Connecticut,4-213-572-6040,16,96,6,14,Webinar,Yes
6322076,Oregon,2-108-327-5627,9,109,6,1,Webinar,No
8330255,Oregon,6-158-386-4616,25,99,21,8,Print,Yes
1291793,Delaware,5-336-270-7670,16,77,27,11,Tradeshow,Yes
3960222,Oregon,5-100-220-2530,15,100,13,1,Adwords,No
5165722,Maryland,7-550-251-1082,5,74,8,12,Webinar,Yes
4870494,Oregon,1-338-135-5178,7,104,18,3,Tradeshow,No
8570279,North Carolina,1-722-633-8781,13,139,11,3,Webinar,No
4539786,Delaware,4-334-682-6371,4,83,18,7,Print,No
5567234,Maryland,8-552-213-2564,16,132,15,1,Tradeshow,No
8162473,New Jersey,4-431-367-3115,16,67,17,4,Tradeshow,Yes
4018809,Oregon,1-006-554-5351,4,104,9,5,Webinar,No
6700822,New York,3-220-674-3677,18,77,15,6,Print,Yes
1674984,Colorado,8-623-042-4835,4,124,16,5,Webinar,No
1796269,Ohio,0-783-674-0517,2,79,18,7,Tradeshow,No
5016739,Montana,4-088-525-4152,11,108,10,8,Print,No
7904165,Delaware,8-365-840-7084,29,78,15,12,Print,Yes
3774884,Delaware,6-288-185-4577,18,75,16,4,Print,Yes
7359992,North Carolina,3-373-664-6231,7,91,8,6,Tradeshow,No
9226477,Pennsylvania,8-367-073-4838,2,98,8,1,Print,No
6627667,Illinois,0-762-758-6326,9,91,3,4,Adwords,No
1321514,Oregon,3-885-484-3328,3,145,14,5,Print,No
1529123,Illinois,6-881-183-4125,17,81,16,3,Tradeshow,No
9663714,Illinois,5-820-672-5427,3,108,4,2,Webinar,No
2542782,Maryland,2-126-312-0373,3,104,14,1,Webinar,No
5278769,Virginia,5-814-715-2540,13,130,7,5,Tradeshow,No
5539143,North Carolina,4-376-686-1566,13,56,9,6,Print,Yes
9917741,Illinois,2-325-504-3683,5,87,4,2,Print,No
8414997,Pennsylvania,2-523-760-7056,13,121,9,3,Adwords,No
0829703,Indiana,8-753-851-8456,14,122,10,4,Webinar,No
3550037,Pennsylvania,5-547-266-7345,12,102,12,5,Webinar,No
0527785,Oregon,6-422-501-8452,6,105,16,5,Webinar,No
7205392,Maryland,8-134-557-7125,25,92,23,7,Webinar,Yes
3774262,North Carolina,4-036-371-4108,16,125,14,4,Webinar,No
1033705,Montana,1-003-224-3776,29,91,18,7,Adwords,Yes
4522041,Vermont,0-471-488-8666,2,133,3,7,Print,No
9596108,Montana,6-222-018-5612,5,130,8,4,Webinar,No
5377184,Vermont,3-072-475-2016,2,83,16,0,Print,No
4222195,Vermont,7-183-710-5781,29,111,15,11,Print,Yes
6820536,Montana,4-031-435-3772,7,126,15,2,Print,No
1315092,Maryland,1-861-841-5483,5,114,7,2,Webinar,No
9098369,Connecticut,6-230-106-6322,13,148,14,2,Print,No
5980498,Illinois,5-538-780-1486,14,126,9,7,Webinar,No
3567038,Maryland,2-407-765-0237,4,131,9,7,Print,No
8306714,Montana,8-866-014-1653,9,123,10,2,Print,No
5184113,North Carolina,7-245-070-8723,2,108,15,7,Adwords,No
